[13:43:45 25/06/1995]	42700293.txt
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	92
RESP  [inactive, status = 21e0]
ABP   	98	135	82
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	92
RESP  [inactive, status = 21e0]
ABP   	98	136	82
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	93
RESP  [inactive, status = 21e0]
ABP   	98	136	82
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	93
RESP  [inactive, status = 21e0]
ABP   	98	136	82
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	93
RESP  [inactive, status = 21e0]
ABP   	97	135	82
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	93
RESP  [inactive, status = 21e0]
ABP   	98	135	82
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	93
RESP  [inactive, status = 21e0]
ABP   	98	135	83
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	94
RESP  [inactive, status = 21e0]
ABP   	97	135	83
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	94
RESP  [inactive, status = 21e0]
ABP   	97	134	82
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
